,уровень_0,уровень_1,уровень_2,уровень_3,макс_модуль
cat__wall2comment4_4,-1.207757284290634,-0.37102333703416135,0.2663689948779123,1.312411626446884,1.312411626446884
cat__wall2comment4_1,1.1168162981289829,0.2777819397084141,-0.30641668326447763,-1.0881815545728921,1.1168162981289829
num__notion,0.7417169466006072,0.604909830231998,-0.23202991362901146,-1.1145968632035606,1.1145968632035606
cat__commtypes_Бизнес,1.0512760676640558,0.4093444717575407,-0.6297619995171375,-0.8308585399044506,1.0512760676640558
cat__private5_1,0.6054991508435943,0.2606633872078499,0.1230380418963378,-0.9892005799477379,0.9892005799477379
num__copymail_is_empty,-0.6215447374663051,-0.09925732462758134,-0.19874407884654052,0.9195461409403958,0.9195461409403958
cat__picturechoosedelete_first_3,-0.5822838767853988,0.8961546463386322,0.30683651926455124,-0.620707288817783,0.8961546463386322
cat__private3_2,-0.4250846164372934,-0.41066397406983685,-0.052978632815733756,0.8887272233228822,0.8887272233228822
cat__citationcode_first_5,-0.7492236022215009,-0.3262802621933802,0.24496745970437678,0.8305364047105135,0.8305364047105135
cat__private5_5,0.8269326430518289,0.23373367075578852,-0.7387309032740936,-0.3219354105335293,0.8269326430518289
cat__citationcode_first_6,0.6161275915203651,0.056540329003046404,0.1522015192852644,-0.8248694398087062,0.8248694398087062
cat__private6_1,0.8175654328634567,0.034612554211323754,-0.21110348505112203,-0.6410745020236583,0.8175654328634567
cat__loginchoose_123abc,0.5986684303360256,0.6161394354377676,-0.40210590772301547,-0.8127019580508058,0.8127019580508058
cat__picturechoosedelete_first_6,0.6000104081770041,-0.8008661720854363,0.017273701387231954,0.1835820625212233,0.8008661720854363
cat__picturechoosedelete_first_5,0.7838801520844522,-0.018285848953638918,-0.4860912808396308,-0.2795030222912088,0.7838801520844522
cat__private3_4,0.7815812907300835,-0.17466918159924236,0.08091380642935726,-0.6878259155602261,0.7815812907300835
cat__wall2comment4_2,0.7783630277332271,0.12489147933828594,-0.13017971237935422,-0.7730747946921755,0.7783630277332271
"cat__wall1_Привет! Я думаю, что повезло всем, кто участвует в этом спектакле 💐🤦‍♂️",0.766834289484227,0.2405491097264051,-0.3411206672010845,-0.6662627320095094,0.766834289484227
cat__privacy_Открытое,0.750845270908359,0.10877699414637472,-0.26590080381570264,-0.593721461239034,0.750845270908359
num__citationcode_n_actions,-0.5983003127099372,0.7305534164701627,-0.2807412008825174,0.14848809712229227,0.7305534164701627
cat__exit_1,0.6289601381960582,-0.21878992290479254,0.312736318890056,-0.7229065341813447,0.7229065341813447
"cat__private2_Не думаю, что стоит заходить на такой сайт",-0.7173856813790338,-0.21815583923174195,0.3080774030572821,0.6274641175534972,0.7173856813790338
cat__mail1_3,0.7148588277326765,-0.04927735820529219,-0.4253007308038351,-0.24028073872353506,0.7148588277326765
cat__firstclick_почта,-0.700543017743186,-0.040281691539403024,0.4123939689868629,0.3284307402957222,0.700543017743186
cat__loginchoose_Pom_Rezh125%,-0.5885465595946939,-0.028028163214885483,-0.06650644256901972,0.6830811653786458,0.6830811653786458
num__picturechooseN_is_missing,0.026001663143936832,0.4940494277261562,-0.6788071197859837,0.15875602891586066,0.6788071197859837
cat__commfoto_Изображение 3,-0.6786141545942035,-0.05488813899273482,0.08336689225280144,0.650135401334127,0.6786141545942035
cat__picturechoose_first_6,0.6736069286762266,0.22200815955028047,-0.4726027656363388,-0.42301232259018334,0.6736069286762266
cat__private5_2,-0.6720395885814939,-0.21388815935714134,0.5223814683477153,0.36354627959094893,0.6720395885814939
cat__commеtheme_Постановка спектакля,-0.6662108010275574,-0.27300415635931585,0.3293362909087123,0.609878666478173,0.6662108010275574
cat__picturechoosedelete_first_1,-0.11139938951183727,0.661743930847537,-0.38690943796025157,-0.16343510337546094,0.661743930847537
cat__commtypes_Мероприятие,-0.605817275800955,-0.16127034620801753,0.11104398179945009,0.6560436402095298,0.6560436402095298
"cat__private2_О, прикольно, пусть все посмотрят этот сайт!",0.6557206941536045,0.09197919827368596,-0.2724294881579352,-0.47527040426935946,0.6557206941536045
"cat__wall2_Если тебе что-то не нравится, можешь в спектакле не участвовать и в группе не сидеть!",0.6353449595353422,-0.023651300036405705,-0.23858471288367195,-0.37310894661528365,0.6353449595353422
num__citation_n_sources,-0.6347637196333412,-0.42209071796368497,0.5034204408042108,0.5534339967928245,0.6347637196333412
cat__citationcode_first_4,-0.2997532407461133,-0.32381389746694766,-0.005130078614408901,0.6286972168274656,0.6286972168274656
cat__wall3_Скачай отсюда: www.editvideo.com,-0.3775686773452667,-0.4318210577179236,0.18119195362726762,0.6281977814359287,0.6281977814359287
cat__exit_0,-0.5461998888551604,-0.04802227234000185,-0.025636440736072894,0.6198586019312526,0.6198586019312526
cat__private6_6,-0.5452995782660482,-0.2482833260522033,0.1853743714123456,0.6082085329059077,0.6082085329059077
num__copymail_has_correct_email,-0.6070182954054172,-0.18500225298020478,0.20729075544144673,0.5847297929441885,0.6070182954054172
cat__picturechoosedelete_first_8,-0.29860984315932587,-0.6014960544709343,0.36997123263970355,0.5301346649905627,0.6014960544709343
cat__citationcode_first_3,0.6012456477779938,-0.34650572305720656,-0.37638082748478896,0.12164090276396565,0.6012456477779938
cat__commname_«Сон в летнюю ночь»,0.6009250066798895,0.09264379350715711,-0.1468066499991737,-0.5467621501878543,0.6009250066798895
cat__wall3___MISSING__,0.16747678842910696,0.5976106013555221,-0.2907450138847504,-0.47434237589992484,0.5976106013555221
cat__privacy_Закрытое,-0.5929701097894524,-0.10676024850469383,0.2071240981457571,0.49260626014836706,0.5929701097894524
cat__wall2comment5_1,-0.5878672585055932,0.28981433284885333,0.004771993182055973,0.2932809324746757,0.5878672585055932
cat__savepicture_first_3,0.22096129885680943,0.08213379646088448,0.26679407265921223,-0.5698891679769189,0.5698891679769189
"cat__wall4_Ребята, напишите здесь свои комментарии, что у вас есть",-0.5686836642731817,-0.005120541293102264,0.2422655006083451,0.33153870495793314,0.5686836642731817
cat__picturechoosedelete_first_2,-0.32305263502925363,0.5637765607647995,-0.022497580360763415,-0.2182263453747885,0.5637765607647995
cat__private5_3,-0.5594174851017499,-0.22445498904902503,0.38763043971454136,0.3962420344362202,0.5594174851017499
"cat__wall4_Давайте все напишут свои номера телефонов, а мы им позвоним",0.5576927238009385,0.01249805310043191,-0.15949241059834104,-0.4106983663030441,0.5576927238009385
"cat__wall1_Привет! Я думаю, что повезло всем, кто участвует в этом спектакле 👌🎉",-0.5548500138946524,0.015899988998770005,0.06913927367720184,0.4698107512186929,0.5548500138946524
cat__picturechoosedelete_first_4,-0.3588908476973952,-0.5043329354277788,0.3116009396693982,0.5516228434557799,0.5516228434557799
cat__picturechoose_first_8,-0.5321416444794883,-0.1877195289339588,0.4547546182781105,0.26510655513533765,0.5321416444794883
cat__loginchoose___MISSING__,-0.06308367184015236,-0.5269285083893368,0.48709771056992046,0.10291446965957828,0.5269285083893368
"cat__wall1_Привет! Я думаю, что повезло всем, кто участвует в этом спектакле 🎭🎼",-0.5202165649992609,0.221621735741899,0.10194108256265769,0.19665374669470992,0.5202165649992609
cat__mail1_1,-0.5194646683838466,0.33400203331284944,0.06481211781656102,0.12065051725443153,0.5194646683838466
cat__wall2comment4_3,-0.4622163208363587,-0.17208635719558746,0.1201860256270056,0.5141166524049262,0.5141166524049262
cat__commеtheme_Наше выступление,0.5120723448078697,-0.09969603682598487,-0.10172629557139595,-0.3106500124104654,0.5120723448078697
cat__firstclick_infrequent_sklearn,0.4957630583673526,0.13481988426503178,-0.40288978911267176,-0.22769315351970368,0.4957630583673526
cat__citationcode_first_7,-0.09883482228067852,0.48876646207549296,-0.19337906120660223,-0.196552578588236,0.48876646207549296
cat__wall2comment5_infrequent_sklearn,-0.04879190051245281,-0.48521130249016275,0.14630361351847265,0.3876995894841464,0.48521130249016275
cat__private4_3,-0.30400989141860696,-0.18785946179538884,0.009773110322034007,0.4820962428919794,0.4820962428919794
cat__commеtheme_Театральные будни,0.4799672366773342,0.22911696631130052,-0.30825028577833996,-0.400833917210302,0.4799672366773342
cat__wall1___MISSING__,0.31200521632811307,-0.47786361875321015,0.17222231888099512,-0.006363916455900861,0.47786361875321015
cat__citationcode_first_1,0.41260388871052894,0.05422532486003368,0.005942386301219951,-0.4727715998717952,0.4727715998717952
cat__private5___MISSING__,-0.017766389033569346,0.09818116012786401,-0.46773290496539865,0.3873181338710969,0.46773290496539865
cat__mail2_1,-0.4636862560104836,-0.185238554226969,0.23616785645341298,0.4127569537840308,0.4636862560104836
cat__exit___MISSING__,0.45604573093663586,-0.24442775561969848,-0.31494170365045376,0.1033237283335058,0.45604573093663586
cat__commfoto_Изображение 5,0.17980268727582666,0.45500509694290175,-0.24649780220121048,-0.38830998201751693,0.45500509694290175
cat__private3_5,-0.44134538793621964,-0.008888438156891217,0.08935035625727517,0.3608834698358313,0.44134538793621964
num__citationcode_n_repeats,0.1483015860529523,-0.43621222912918545,0.17885530290258436,0.10905534017364826,0.43621222912918545
num__copymail_len,-0.42664738324834356,-0.019779172350730033,0.1853193078705185,0.2611072477285592,0.42664738324834356
cat__savepicture_first_7,0.0881704031018441,0.3528328687912212,-0.4256463890542685,-0.015356882838784261,0.4256463890542685
cat__private4_5,0.3955958035222954,-0.10351270962405797,0.10983124647122788,-0.40191434036945084,0.40191434036945084
cat__firstclick___MISSING__,0.3960549362856606,-0.2537716744572278,-0.19738467932481846,0.055101417496376114,0.3960549362856606
cat__mail1___MISSING__,0.1030522121768548,-0.3898622562406757,0.2742009530623433,0.012609091001479932,0.3898622562406757
cat__exit_поиск,-0.20172391383334218,0.3876077660320922,-0.07153288459817192,-0.11435096760057974,0.3876077660320922
num__savepictureN_is_missing,-0.1549738154338712,-0.3820935371284054,0.37127365908881466,0.1657936934734515,0.3820935371284054
cat__citationcode_first_8,-0.2945199678074595,0.3710809538331759,0.30471974474273894,-0.3812807307684556,0.3812807307684556
