,Ось1,Ось2,Ось3,Ось4,Ось5,Ось6
exit_0,-0.4873740908954466,0.002455000811870087,0.018173617996721843,-0.0936887685470402,0.06796560835924545,-0.026995313646042945
exit_1,0.4255875108313993,0.7656083781950913,0.04983123524242544,-0.11276220615376023,0.09572815683691077,-0.18449491977004637
exit___MISSING__,2.276412040811072,-0.13406138032814813,-0.011712895135490412,0.01822911775344754,-0.0085713313861445,0.015645617658109668
exit_поиск,-0.4054918232279127,-0.11554282735295694,-0.05769738572872539,0.22296120606602174,-0.13297681759637847,0.09226315617875976
exit_почта,-0.38726055391863967,-0.23170091298204776,-0.013672239447055534,0.21469152078718032,-0.26122681476507675,0.12528506782075063
firstclick___MISSING__,0.6115212574648168,-0.12550819115669343,-0.03118332986376893,0.14054865809113828,-0.10506503537545764,0.06390209327499505
firstclick_поиск,-0.42289763477536335,0.09296866088282066,0.041496958110915305,-0.11752861417842284,0.10163777327291744,-0.1347673708723528
firstclick_почта,-0.41987407313419745,0.07551505177966632,-0.04277259066679257,-0.04442870629355356,-0.01598513149745093,0.2043864685480316
firstclick_соцсеть,0.02001515799635575,-0.35154867169257437,0.263009599769946,0.3590500520826356,0.1385910254459618,0.8228170782694303
loginchoose_123abc,-0.3240958145463109,0.5619793765483868,0.0521028105499663,0.12438046557859324,-0.019972199301840642,-0.14179590315764423
loginchoose_Pom_Rezh125%,-0.4370460045861328,-0.32099461364050946,-0.09201623151536284,-0.0332585475888509,-0.03454656118288984,0.07446879938287422
loginchoose___MISSING__,2.279031070009582,-0.13047936319167558,-0.013815076234952803,0.018305850456057197,-0.0042429779411484285,0.015494177607718838
loginchoose_pomrezh,-0.3853930287642876,0.21160006360260963,0.14697817699909174,-0.062382495205210664,0.09175624474918331,-0.028115764121181497
help_0,-0.3746420118285617,0.033242575302682244,0.007448755396271438,0.008555295925743198,-0.004993679647122018,-0.023980137434389148
help_1,-0.37244953480122894,-0.051605791573847974,-0.03820330900549749,-0.09132162805059939,0.05098160785817092,0.1575765869001262
help___MISSING__,2.2891823622884258,-0.14259419175582785,-0.012903636438531077,0.019101881750104858,-0.009489169457895604,0.016811274088645942
commtypes___MISSING__,2.272500430649549,-0.12147043442031141,-0.014737015745196981,0.019658317938950263,-0.0002287733322980006,0.013825712797549159
commtypes_Бизнес,-0.37054065566027794,1.4365854031309784,0.06446090880517645,-0.060335808430086964,-0.41067770881500254,0.13485925144555083
commtypes_Бренд или организация,-0.3563261091818266,0.42569602624909497,0.20736358475037117,-0.19884325423199156,-0.08560473305390653,0.09886069476539908
commtypes_Мероприятие,-0.42047821105031097,-0.2290704861735566,0.00922438745838117,0.02020722583664676,-0.007500783513115709,-0.006196562373187292
commtypes_Публичная страница,-0.3901360626193661,0.48457001285823065,-0.2084367486907833,0.16669694425143378,0.15680358092178423,-0.05195956992746008
commtypes_Сообщество по интересам,-0.4084617055778157,0.06638012774293413,0.0424799997959336,-0.11579976885021889,0.13951492503023163,-0.047261439498865104
commtypes_Тематическое сообщество,-0.3785818414335208,0.3217899959651462,-0.08758916602543022,0.026352922281209477,0.0036823573785032017,-0.010535153539861659
commname___MISSING__,2.272500430649549,-0.12147043442031152,-0.014737015745196109,0.019658317938949864,-0.00022877333229748574,0.013825712797549638
commname_«Сон в летнюю ночь»,-0.37594712778620043,0.8698733335821431,-0.04438259314543619,-0.027169133116932698,0.0022475117835875466,-0.08211512308741609
commname_Наш спектакль «Сон в летнюю ночь»,-0.41108719393140997,-0.061783244387305446,0.10875110044358065,0.01363907987229069,-0.07202902572216624,-0.0384009742646157
