,фактор,собственное_значение,порог_случайности,оставляем
0,1,4.557109671125661,1.1615966172971188,True
1,2,2.075502341272308,1.1290115762943835,True
2,3,1.7069078959663138,1.1069114902997534,True
3,4,1.4303532977340143,1.0890444966007882,True
4,5,1.2952841152249392,1.066869655013626,True
5,6,1.174185154432959,1.0540047698290558,True
6,7,1.0034873687460057,1.0371985041107001,False
7,8,0.9720161109467131,1.0236455148046655,False
8,9,0.8358724168509925,1.0087976182600091,False
9,10,0.5913804952723641,0.9946798203453026,False
10,11,0.4521282592153139,0.9805929404335473,False
11,12,0.3343354944633781,0.9678079267754182,False
12,13,0.3057458281478879,0.9540842250675728,False
13,14,0.18524927081347398,0.9400408315555846,False
14,15,0.06392188178388288,0.9243171823252704,False
15,16,0.014508757683299987,0.9104989427440052,False
16,17,0.0020116403205075618,0.89186954606536,False
