,признак,падение_f1,std
0,copymail_is_empty,0.048966275849529006,0.012967728838993234
1,private6,0.030662276257470776,0.012881153090266172
2,fulltime_is_missing,0.03061294084133167,0.003904022990270614
3,openglasha_is_missing,0.03061294084133167,0.003904022990270614
4,notion_is_missing,0.03061294084133167,0.003904022990270614
5,loginchoose,0.02843561119736271,0.009311505728287093
6,copymail_has_correct_email,0.028384054470988483,0.011104604890711061
7,wall2comment4,0.027528486152359886,0.012503759274970605
8,private3,0.02624915557567812,0.008416191277368977
9,notion,0.018576031102259704,0.012200894263914706
10,privacy,0.01775652155207339,0.009869807560396345
11,citationcode_n_actions,0.01687895566121238,0.009441479464093475
12,citation_n_sources,0.01586998040077544,0.006714178276520671
13,commfoto,0.015381543814486176,0.009330526304895755
14,commеtheme,0.01425012209847103,0.008646004912029616
15,private4,0.01401948949169074,0.01176994601385178
16,exit,0.012037842302560654,0.0061529710206040525
17,wall3,0.01118214090399704,0.007745449948348988
18,commname,0.009988672687854472,0.007536956584380167
19,picturechooseN_is_missing,0.008343442775834441,0.008677612385177126
20,citationcode_first,0.007998688998712412,0.007813872805782367
21,wall1,0.00585443377239947,0.006085140212809056
22,savepictureN_is_missing,0.005302722996648979,0.006774824683343649
23,private5,0.005153575595344906,0.009260502177148753
24,picturechoosedelete_first,0.004771022335131492,0.005369501155790624
25,openglasha,0.003611601270443221,0.0048267915647487065
26,picturechoosedelete_n_actions,0.00335300842345333,0.005772896739530565
27,wall2comment5,0.0025917957510923073,0.004128531932978899
28,private2,0.002503438996248475,0.008044533666728026
29,authortime_is_missing,0.0024252106427221642,0.002577616844420948
30,authorN_is_missing,0.0024252106427221642,0.002577616844420948
31,firstclick,0.0016542434824985074,0.005422399099969321
32,picturechoose_n_actions,0.0014159242896943259,0.0018731936337530006
33,wall4,0.0013264196993062138,0.005102413801194124
34,mail2,0.0012852372607348617,0.006445048099648173
35,wall2,0.0010260204276093532,0.009066535770383128
36,authortime,0.0009535868591635909,0.0029084617400013755
37,citationcode_n_repeats,0.0008330725360529145,0.0015244470238782268
38,picturechoosedelete_n_repeats,0.0003374206260763457,0.0015326085261573726
39,picturechooseN,0.0003214943007841531,0.002577154462708241
40,picturechoose_n_repeats,0.0,0.0
41,private1,-0.00031898394482370306,0.0045643127651979944
42,savepicture_n_actions,-0.0004377664166510864,0.004696907859675544
43,copymail_is_exact_email,-0.00045151735285333674,0.00390549317707247
44,picturechoose_first,-0.0006779590597277285,0.00688664792029283
45,authorN,-0.0012568488202754024,0.0017953134731680618
46,help,-0.0017067628773271392,0.0035383203311419873
47,savepicture_n_repeats,-0.0027149577720387954,0.0015918775551529176
48,savepictureN,-0.003827104431459194,0.0048718009214919755
49,copymail_len,-0.004512769205286593,0.004890086937592295
50,savepicture_first,-0.005629562922189102,0.010580927568041501
51,wall2comment3,-0.005783973173538126,0.0039006051517870037
52,mail1,-0.006704112494204839,0.0047946803834977795
53,fulltime,-0.007713809170697139,0.004553302069875708
54,commdescription,-0.009886727146211216,0.005563053490449064
55,commtypes,-0.010474879109683666,0.006768622608951708
